"key","label_ko","status","molecules","source","scope_or_reason"
"Fruity|Citrus Fruit|Citrus","시트러스류","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Lemon","레몬","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Orange","오렌지","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Grapefruit","자몽","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Lime","라임","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Tangerine","귤","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Yuzu","유자","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Kumquat","금귤","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Citron","시트론","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Blood Orange","블러드 오렌지","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Mandarin","만다린","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Pomelo","폼멜로","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Key Lime","키라임","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Citrus Fruit|Bergamot","베르가못","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
"Fruity|Other Fruit|Apple","사과","pending","","","이 세부 대상의 주요 향기분자를 뒷받침하는 원문 연결이 아직 완료되지 않았습니다. 가공 상태·품종·제품 범위를 확인한 뒤 추가합니다."
